text,username,city_request,city_provenance
Hey fellow travel enthusiasts! 👋    So here's the scoop - my fiancée has been dreaming of a magical Christmas trip to New York but life's thrown us a few curveballs with work school and trying to stash away some cash for our upcoming wedding. But hey I'm all about making dreams come true so I've got a surprise one-day trip to NYC in the works!    We're flying out from Detroit to make the most of our time and thanks to some credit card points the flight is practically a steal (less than 100 bucks out of pocket - woohoo!). Now I need your collective wisdom to plan the perfect day in the Big Apple. Planning to go on December 27th.    We've got around 9 glorious hours to soak in the city's vibes and I want every minute to count. My fiancée is a Christmas fanatic so any suggestions for Christmas-themed places or areas would be gold. And here's where I'm turning to you for some guidance:    Must-Visit Places/Restaurants: Where should we go to make this day unforgettable? Any hidden gems or must-see spots?    Transportation: Do we need to rent a car to explore or is there a more convenient way to get around? We'll be landing at Newark Liberty International Airport (EWR) if you have any other airport suggestion that is closer to the city I can change as I haven't booked yet.    Budget: I don't want to break the bank but I want to make this day special. Think 300-500 bucks will be enough for transportation meals and a bit of holiday splurging?    Your tips and insights will mean the world to us! Thanks a million in advance for helping me pull off this surprise. Can't wait to hear your recommendations! 🗽🎄✈️ ,Traveler,New York City,World
I do not take credit as I did not leak this video on YouTube but I did watch it at their orientation as an employee there. I am also not disgruntled; the only reason why most other employees have not leaked or shared it is due to fear of being fired for it. https://www.youtube.com/watch?v=MbGrIigaTfs ,Jacob S,,
I read somewhere that it would be a good idea to take a ferry ride to see the NYC skyline. Anyone with suggestions. I will be in NYC end Jan 2024 for 3 days ,Wally-Singapore,New York City,"Singapore, Singapore"
Hi-    Staying with family in January in the Carnegie Hill neighborhood in January.    Haven’t been to NYC since I was a kid but looking for good restaurants in the neighborhood that would be an easy walk.    No dietary concerns open to anything and price point not a factor.    If you had 5 days in that neighborhood where would you go? ,lv2sxm,New York City,"Napa, California"
Hi    We plan to visit NY in May 2024. Wondering if anyone can suggest any apartment with 2 bedroom 2 bathroom in manhattan for 2 week stay for 4 adults. Thanks ,Suvabrata,New York City,"Mumbai, India"
Hi All    First time positng here.    This is a late family getaway trip so has not been best planned.    We are a family of 5 (2 x Adults and 3 x Chiuldren 15 12 & 10).    This will be our first time in New York and we have flights on hold for JFK landing 26/12/23 and leaving NVY 04/01/24.    Manhattan is quite expensive I have noticed in temrs of hotel costs so i just wanted to know are there any other locations that we can consider beside Manhattan? We can use public transport to get in and out of the city?    The length of stay is purely because we dont want to rush our visit and get to take in everythng we can.    Any help much apprecaited  Sanj ,spacerider666,New York City,"London, United..."
Since i am staying only 3 days which marshal store is the largest to go for as there many ? ,Mohamed F,New York City,"Cairo, Egypt"
Just double checking paperwork for our trip starting tomorrow and have totally boobed with bookings for the 23rd Dec!    Have the Rockettes Christmas show at Radio City at 4pm and The Nutcracker with New York City Ballet at the Lincoln Center at 8pm...................    Can't change the ballet tickets at all I've found and the Rockettes were booked through Ticketmaster with a hefty admin fee and worse seats are now about a 100$ more per ticket and heaven knows what they'd charge us for admin then so decided we'll do both if we can.    I think it will be possible to do both but obviously I'm not a local and don't know for sure. Does anyone know what time the Rockettes etc finish and if we then have time to get to the Lincoln Centre (and how) to be seated for their start time of 8pm?    As you can imagine I'm in trouble with my husband who is trying to be understanding but then remembering what he paid for the tickets - oops! Would appreciate any advice please ,lovesusa,New York City,Stockton Heath...
I'm planning a 1 night (yes I know!) visit to the falls in late sept. Can anyone comment on the best view hotel please? My budget is to upper 3 figures so I can pick a high floor with a view but....I'd like to take photos not through a window (I guess hotel windows don't generally open) so it's more important that I could have some kind of high viewing platform if possible. Does this exist? As another question then where is the best ground access viewpoint on the Canadian side for photos of the falls?  Many thanks for your reply Brian. ,bfrost666,Niagara Falls,"Exmouth, United..."
Does 7 day fare cap work also on international credit cards? How will I know that I reached the cap and that credit card is not getting charged anymore? ,Marko H,New York City,"Solkan, Slovenia"
This post was determined to be inappropriate by the Tripadvisor community and has been removed. ,onemoreroad,,Georgia
There seem to be a few options for NYC food walking tours. We’d love to try one in late September that goes to Chinatown and Little Italy if possible. We’re staying near Times Square but are willing to start anywhere.  Thanks in advance for any suggestions. ,nancy c,New York City,toronto
Hi everyone! Thinking about coming to the city for the night next Friday the 29th to celebrate my anniversary. Can you guys give me some suggestions on a hotel (I was looking into The Plaza) any delicious restaurants (we are steakhouse snobs love a good meal!) and any romantic ideas for us… thanks! ,NCW,New York City,New Jersey
This is my first time travelling and have a 17 hour lay over in New York and I’m looking for recommendations.    Is it worth booking a hotel for that time or not? From my understanding I can just go from JFK to Jamaica Station and then to Pen Station and visa versa so does a Manhattan hotel vs airport hotel matter if I go the hotel route?    Also any recommendations on places to visit whilst I’m there?    Thanks. ,Ste S,New York City,
We are going to NYC for first time for 5 nights with kids (9 and 10) for Christmas this year. I can get a suite with points at Conrad Midtown or Hyatt Centric (both around same size). Centric is a little cheaper. We are going to 3 shows (1 matinee) visting empire One World Natural History museum rockefeller etc ...    Any idea which hotel is better placed? Is Conrad worth the extra $$?    Thx  J ,ledunk,New York City,Los Angeles
Hi - we have 7:30PM tickets to see The Magic Flute which runs around 2 hours. Add intermission which is 30 minutes I think? We'd like to eat out afterwards at a nice place (steakhouse French American seafood all OK). I'm just not sure when to book the reservation given variability in intermission and how long it will take for us to get to the restaurant. I'm thinking it can't be any earlier than 10PM. Can you recommend a place that's not too far from Lincoln Center (not the Grand Tier we'd prefer to eat elsewhere) that would be open that late? Thank you. ,ThirdGrace,New York City,NYC
Any recommendations on where to buy NYC nogastic decorations for trees? Such as taxi cabs big apple etc… ? ,emmaxoxo,New York City,"Arlington, Texas"
Hi everybody!  Will the stores be open on New Year's Day? We were planning to do some shopping before catching our flight home at midnight.  Thank you in advance. ,eniviv,New York City,Portugal
Any suggestions for iconic places to have a coffee in NYC? I have juat been to Caffe Reggio and Ralph Lauren's Cafe ,Marko H,New York City,"Solkan, Slovenia"
We are 4 person include two daughter age 14 & 15..we want to stay in manhattan nearby for 3 nights…plz help me to find good hotel with two double bed in 300$ per night… ,amit_ostwal,New York City,"Ahmedabad, India"
Hi - I’m planning to buy tickets for this as a surprise for my daughter we’re flying out from the UK before Christmas - first question - which ticket reseller is the most trusted and second question - which are the best (affordable) seats? Thx in advance! ,rachyh1,,"Harrogate, United..."
Hi 2 senior Aussies flying from Vancouver to Quebec then Prince Edward Island then New York. Wondering if there is a tour which would take us north to Boston New Hampshire Maine. Any recomendations? I would rather not drive ‘on the other side of the road’ in areas I’ve never travelled before. Thanks in advance. Oops meant to say…May/June ‘24. ,Ozziewanderer,,australia
I have no intention of going out this NYE but I thought this announcement for the Broadway show Harmony was interesting. It happens to be about TDF dot Com but the discussion applies conceptually to anything other than standing in TS for ten hours:    (This theater is on 47th Street east of 8th Avenue.)    Please note that for New Years Eve December 31 at 2PM your tickets for Harmony will be emailed to you from Telecharge. Due to heightened security and street closures in and around Times Square please note the following. You must arrive to the theater from the west side (8th Avenue) and have your tickets or confirmation to show security for access to the theatre. Cross traffic through the bowtie will be closed to both pedestrian and vehicular traffic. Additionally there will be a ban on large bags umbrellas alcohol and water bottles for everyone coming through.    (I'm dubious about water bottles especially since the deaths at those TS concerts in Brazil. But the theater would love to sell more bottled water.) ,obsoperator,New York City,"Bergen County, New..."
Hi    Are there any Times Square restaurants / businesses with decent New Year's ball drop views that are still taking reservations for 2023-24?    With some insulation from the cold possible precipitation crowds etc. and hopefully with restrooms & seating?    I imagine the price would run into the hundreds of USD but probably not in the thousands? Or has inflation pushed up prices that high these days?    What about for future years - what's the process of making reservations like? The problem is the performer lineup is not typically announced until December of that year so if you book really early you have no way to tell if it's an artist/band you'd like to watch.    Thanks. ,Markus E,New York City,"Columbus, Ohio"
After all the help and advice I received from others on this forum I wanted to feedback some key highlights from my recent NYC a trip that included eight of my girlfriends for my significant birthday in the hope it may inform someone elses big trip!    Accommodation  Broadway Plaza Hotel: great location and I highly recommend it! Their renovated rooms are located on the first six floors only anything higher up is still original. I had a renovated Queen room that was generous enough in size. Two of my girlfriends shared a Deluxe room with two queen beds which was a fabulous in size with very generous bathroom and the last room type we had was a Deluxe Junior Suite with two king beds (and a sofa bed) – and it was VERY big! Street noise from my 4th floor room was very noticeable that was the only downside.    Food: we were so spoilt for choice that it’s impossible to choose a favourite between the following.    - Foul Witch. The ‘fire and ice’ the sourdough the sorana beans the veal tortellini the guinea hen…mouthwatering and all in the most brilliant setting (…once we managed to find it!)  - Zaytinya (at the Ritz-Carlton Nomad hotel). I totally endorse the suggestion by @McWhippet of the Ashta - beautifully presented French toast perfect for my birthday breakfast.  - Ulivo Trattoria and Cocktail Bar. The perfect place for my indulgent birthday dinner that started off with cocktails in their front lounge followed by so much Italian deliciousness at their centre table - deep fried burrata anyone?  - Il Florista. We stumbled across this absolute gem and what a find! So simply decorated with such a beautiful fresh vibe. Highly recommend the pappardelle with lemon pecorino black pepper and lavender not to mention their negronis!  - Sicily Osteria. More Italian but a great choice before we saw Hamilton.    Other worthy food mentions include the Grand Central Terminal Oyster Bar Don Antonio’s for a recovery pizza the night after the big birthday and Pete’s Tavern at Gramercy Park.    Coffee  - Stumptown coffee at the ACE Hotel = a great skim flat white every morning!  - Eataly Flatiron = also great coffee and a bite-sized something sweet.    Theatre and NY Comedy Festival shows  - Gutenberg! The Musical – hilarious!  - Hamilton: why I put off seeing for this so long I will never know – fabulous!  - As part of the NY Comedy Festival we were also lucky enough to see Bill Burr at MSG and Jo Koy at The Kings Theatre in Brooklyn – what a spectacularly grand theatre!    Tours  - Nice Guys Tours: Lower East Side – a great few hours with Adam our guide!  - Secret Food Tours: Greenwich Village – again Emily was fabulous as our guide highly recommend.  - Walk City Experience: The Official Grant Central Terminal Tour  - Brooklyn Giro Bike Tours: great four hour ride all through Brooklyn.    Thank you again to all those on this forum for your expertise – it really is an invaluable resource! ,Boy046,New York City,"Canberra, Australia"
My wife daughter (12) and i will be attending a game at Madison Square Garden on New Years Day and would love some recommendations for brunch/lunch in advance of the game which starts at 3pm.  We are staying at the Westin Grand Central so any where that would be handy between both locations but nearer MSG the better.  Thanks. ,Stephen ONeill,New York City,"Athy, Ireland"
FODMAP is a restricted diet for those of us with tummy troubles we cannot eat apples honey garlic onion etc. I am also intolerant to gluten dairy soy eggs and nuts. Will be coming to New York 20-24 December and welcome recommendations for places I can eat please. ,CA,New York City,
Hello  My train is leaving tomorrow at 5:15AM I would like to arrive there early because is my first time travelling with Amtrak. Moynihan Train Hall opens at 5am which is too late for me so as they told me I can also board the train from Penn Station. Can anyone explain me which signs amd where I have to go at Penn Station to get to Amtrak departures? As i consider Penn Station huge I would like to be prepared to know in advance where I have to go ,Marko H,New York City,"Solkan, Slovenia"
Does anyone know how long the 5th Ave stores will have their Christmas windows up after New Years? I'll be arriving on the 5th and am hoping to get to see a few. I read somewhere that the Sak's light show ends on the 5th so I'm keeping my fingers crossed that I'll get to see it that first night. I'm gonna miss the Bryant Park Winter Village by 3 days-a little bummed about that but oh well there's always next year! ,Tamara C,New York City,"Memphis, Tennessee"
Are backpacks counted as carry on or personal items ,Ellen A,New York City,
