text,username,city_request,city_provenance
Please add links to trip reports for your tours within the UK to this thread. If you can add a brief description (eg the thread header for the actual report) that could help people planning future trips that would be great.    I'm going to ask for this to be pinned and will add more posts with links to past reports. Please add links to your own or others that I've missed.    London trip reports have their own pinned thread at:  http://www.tripadvisor.co.uk/ShowTopic-g186338-i17-k524968-Trip_Reports_Collection_Please_post_here-London_England.html ,CheresX,,United Kingdom
We wanted to do a day trip from London to Cotswold on Christmas day. I understand lots of restaurants will be closed but wanted to check if any cafes will be open ? What about public toilets ? ,Nitin A,Bourton-on-the-Water,
Hi    Has anyone stayed at the Royal Hotel Kettering recently? Their website is: https://royalhotelkettering.com/ I had a good experience there a few years ago but I'm planning to travel to Kettering again and I'm wondering whether to stay at the Royal Hotel or try somewhere else. Does anyone have any suggestions or recent experiences to share? ,kentkouh o,,
Can anyone help please we are travelling to London and staying in Kensington however and are very much aware of the high charges and parking costs.    Can anyone recommend somewhere we could park up securely and jump on the tube into Kensington ,Lynn,London,
We are traveling with our 14-year-old grandson to London next April. Does anyone have a suggestion for a play or musical which would wow him? He's a sports enthusiast. ,rainedainy,,California
Hi!    We'll be there in March into April. She loves literature art and probably would be happy in a lot of different situations but cannot really walk far at all. Does anyone have recommendations for day trips that would include for lectures or classes?  Thanks! ,Tracy B,Scotland,
Hi there…So I’ve bought an Anytime Day ticket from Watford to Euston on 31 December - ticket booked for 13:34.  And also from St Pancras to Brighton at 16:54 on the 31st.  I just want to confirm that I can use the ticket on earlier or later trains on the same route? I need to know whether we have any flexibility with these times…  Should I expect these trains to be super busy? We’ll be a family of five traveling.  Thanks so much! ,ScottHick,London,"Johannesburg, South..."
Hi all    I'm planning a trip to Scotland in early July 2024. We fly in and out of Aberdeen and I want to show my husband some of the beauty of Scotland (I've travelled around it a bit 20+ years ago and loved it then but I have forgotten most of the places I've visited).    I don't want to drive - I just want to enjoy the landscape without worrying about managing left-hand drive so our options are public transport or cycling (with rented bikes). I would love to have a cycling holiday (I still remember the one I had in the Outer Hebrides around 26 years ago :D)    So the interests are:  - scenery - lakes forests in particular.  - exploring small towns/villages  - some castles/ruins  - at least one distillery tour as we love whiskey and gin :-)  - relaxed pace picnics some exercise and loads of fresh air :)    We are both not very fit (but plan to start riding our bikes in the spring to work up our fitness level a bit.) I would love to stay in small quirky B&Bs get some Scottish food and drinks meet some people make some great memories and most of all - show my husband how beautiful Scotland is with a hope to lure him back there again.    Currently I have the following three itineraries in mind and I would appreciate any input (as I want to see it ALL :D which obviously is not going to happen and I am having a very hard time to make up my mind).    https://ej.uz/scotland-version-1 - this includes the Glendfiddish distillery which I would love to visit but I am worried about how realistic this is for two non-professional cyclists.    https://ej.uz/scotland-version-2 - this seemed like the easiest version of the three but I am not sure how exciting that part of Scotland is in terms of scenery.    https://ej.uz/scotland-version-3 - this I put together after some research here on Tripadvisor to include Oban and Glencoe. The same as for version1 no idea how realistic is to cycle this route in 6 days - maybe need use trains for some parts?    I hope I have given enough info to get an idea of what we're after. Would appreciate any comments criticism and suggestions. :-) ,Anda C,Scotland,
Hi    I'm searching train tix to Eastbourne in March. There are plenty of advanced tickets for 6 pounds just about every day but checking the two Saturdays available (March isn't fully open for sale yet) the tickets are only anytime flex and are 40 pounds! That's a huge difference and Saturday is our day to travel.    Can anyone in the know tell me - is this normal? Only full priced flex tickets on Saturdays? At that price for 2 pp we are better off renting a car.    thanks for any info ,SEIdahoThomas,London,"Pocatello, Idaho"
Hi I will be flying into Liverpool airport on Boxing Day landing at 12pm and heading to Manchester for the game that night. I have just found out that the trains are off that day. I see that i can get a bus into Liverpool centre and a bus onto Manchester.  I'm wondering if anyone knows if there is a private coach company that goes from the airport to Manchester direct.    Thanks ,CoDown,Manchester,belfast
